,neg,neu,pos,compound
311,0.0,0.597,0.403,0.4019
312,0.118,0.821,0.06,-0.3274
313,0.293,0.526,0.18,-0.3612
314,0.0,0.857,0.143,0.3612
315,0.0,0.86,0.14,0.4753
316,0.0,1.0,0.0,0.0
317,0.073,0.715,0.211,0.6419
318,0.0,0.706,0.294,0.3612
319,0.0,0.65,0.35,0.8625
320,0.0,0.759,0.241,0.6597
321,0.0,1.0,0.0,0.0
322,0.0,0.323,0.677,0.6369
323,0.0,0.462,0.538,0.8881
324,0.352,0.492,0.156,-0.7003
325,0.334,0.54,0.126,-0.6404
326,0.0,1.0,0.0,0.0
327,0.0,1.0,0.0,0.0
328,0.138,0.862,0.0,-0.4389
329,0.0,1.0,0.0,0.0
330,0.078,0.638,0.284,0.6997
331,0.0,0.846,0.154,0.4588
332,0.0,0.545,0.455,0.8932
333,0.107,0.796,0.097,-0.0772
334,0.0,1.0,0.0,0.0
335,0.0,0.916,0.084,0.296
336,0.0,1.0,0.0,0.0
337,0.081,0.721,0.198,0.3818
338,0.0,1.0,0.0,0.0
339,0.11,0.89,0.0,-0.3818
340,0.0,0.16,0.84,0.8591
341,0.0,0.678,0.322,0.69
342,0.0,0.644,0.356,0.807
343,0.0,0.47,0.53,0.9081
344,0.118,0.739,0.143,0.128
345,0.103,0.798,0.099,-0.0258
346,0.0,1.0,0.0,0.0
347,0.116,0.632,0.253,0.3818
348,0.0,0.672,0.328,0.8074
349,0.0,0.781,0.219,0.5411
350,0.0,0.648,0.352,0.5859
351,0.0,1.0,0.0,0.0
352,0.0,0.5,0.5,0.8997
353,0.0,1.0,0.0,0.0
354,0.0,0.816,0.184,0.4019
355,0.149,0.608,0.243,0.34
356,0.206,0.794,0.0,-0.3818
357,0.211,0.789,0.0,-0.4588
358,0.0,1.0,0.0,0.0
359,0.0,1.0,0.0,0.0
360,0.0,1.0,0.0,0.0
361,0.0,0.441,0.559,0.5859
362,0.0,0.791,0.209,0.4404
363,0.0,1.0,0.0,0.0
364,0.0,0.872,0.128,0.3612
365,0.0,0.747,0.253,0.6633
366,0.0,0.683,0.317,0.5632
367,0.116,0.884,0.0,-0.3595
368,0.0,0.244,0.756,0.4753
369,0.0,0.692,0.308,0.5994
370,0.0,0.796,0.204,0.6249
371,0.25,0.635,0.115,-0.5255
372,0.212,0.788,0.0,-0.5106
373,0.0,0.745,0.255,0.34
374,0.106,0.894,0.0,-0.3818
375,0.42,0.58,0.0,-0.4389
376,0.0,1.0,0.0,0.0
